product_name,size,milk,temp,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg
brewed coffee - dark roast,short,no milk,hot,without whip,236,3,0.1,0,0,0,5,0,0,0,130
brewed coffee - dark roast,tall,no milk,hot,without whip,354,4,0.1,0,0,0,10,0,0,0,193
brewed coffee - dark roast,grande,no milk,hot,without whip,473,5,0.1,0,0,0,10,0,0,0,260
brewed coffee - dark roast,venti,no milk,hot,without whip,591,5,0.1,0,0,0,10,0,0,0,340
brewed coffee - decaf pike place roast,short,no milk,hot,without whip,236,3,0.1,0,0,0,5,0,0,0,15
brewed coffee - decaf pike place roast,tall,no milk,hot,without whip,354,4,0.1,0,0,0,10,0,0,0,20
brewed coffee - decaf pike place roast,grande,no milk,hot,without whip,473,5,0.1,0,0,0,10,0,0,0,25
brewed coffee - decaf pike place roast,venti,no milk,hot,without whip,591,5,0.1,0,0,0,10,0,0,0,30
brewed coffee - medium roast,short,no milk,hot,without whip,236,3,0.1,0,0,0,5,0,0,0,155
brewed coffee - medium roast,tall,no milk,hot,without whip,354,4,0.1,0,0,0,5,0,0,0,235
brewed coffee - medium roast,grande,no milk,hot,without whip,473,5,0.1,0,0,0,5,0,0,0,310
brewed coffee - medium roast,venti,no milk,hot,without whip,591,5,0.1,0,0,0,5,0,0,0,410
brewed coffee - True North Blend Blonde roast,short,no milk,hot,without whip,236,3,0.1,0,0,0,5,0,0,0,180
brewed coffee - True North Blend Blonde roast,tall,no milk,hot,without whip,354,4,0.1,0,0,0,5,0,0,0,270
brewed coffee - True North Blend Blonde roast,grande,no milk,hot,without whip,473,5,0.1,0,0,0,5,0,0,0,360
brewed coffee - True North Blend Blonde roast,venti,no milk,hot,without whip,591,5,0.1,0,0,0,5,0,0,0,475
Caffè Misto,short,non-fat milk,hot,without whip,236,35,0.1,0.1,0,0,45,5,0,5,75
Caffè Misto,short,two-percent milk,hot,without whip,236,50,2,1,0.1,10,50,5,0,5,75
Caffè Misto,short,whole milk,hot,without whip,236,70,3.5,2,0.1,10,50,5,0,5,75
Caffè Misto,short,soy milk,hot,without whip,236,40,1.5,0.2,0,0,40,3,0,2,75
Caffè Misto,short,coconut milk,hot,without whip,236,40,2.5,2.5,0,0,45,4,0,3,75
Caffè Misto,tall,non-fat milk,hot,without whip,354,60,0.2,0.1,0,5,70,8,0,8,115
Caffè Misto,tall,two-percent milk,hot,without whip,354,80,3,1.5,0.1,15,80,8,0,8,115
Caffè Misto,tall,whole milk,hot,without whip,354,100,5,3,0.2,15,70,8,0,8,115
Caffè Misto,tall,soy milk,hot,without whip,354,60,2.5,0.3,0,0,60,5,1,4,115
Caffè Misto,tall,coconut milk,hot,without whip,354,60,3.5,3.5,0,0,70,6,0,5,115
Caffè Misto,grande,non-fat milk,hot,without whip,473,70,0.2,0.1,0,5,90,10,0,10,150
Caffè Misto,grande,two-percent milk,hot,without whip,473,110,4,2,0.1,15,100,10,0,10,150
Caffè Misto,grande,whole milk,hot,without whip,473,130,7,4,0.2,20,95,10,0,10,150
Caffè Misto,grande,soy milk,hot,without whip,473,80,3,0.4,0,0,80,6,1,5,150
Caffè Misto,grande,coconut milk,hot,without whip,473,70,4.5,4.5,0,0,90,7,0,7,150
Caffè Misto,venti,non-fat milk,hot,without whip,591,90,0.3,0.2,0,5,115,13,0,13,195
Caffè Misto,venti,two-percent milk,hot,without whip,591,130,5,2.5,0.2,20,130,13,0,13,195
Caffè Misto,venti,whole milk,hot,without whip,591,160,9,5,0.3,25,120,13,0,13,195
Caffè Misto,venti,soy milk,hot,without whip,591,100,4,0.5,0,0,100,8,1,6,195
Caffè Misto,venti,coconut milk,hot,without whip,591,80,5,4.5,0,0,90,7,0,7,195
Clover Brewed Coffee - Dark Roast,short,no milk,hot,without whip,236,10,0,0,0,0,5,0,0,0,190
Clover Brewed Coffee - Dark Roast,tall,no milk,hot,without whip,354,10,0,0,0,0,10,0,0,0,280
Clover Brewed Coffee - Dark Roast,grande,no milk,hot,without whip,473,10,0,0,0,0,10,0,0,0,380
Clover Brewed Coffee - Dark Roast,venti,no milk,hot,without whip,591,10,0,0,0,0,10,0,0,0,470
Clover Brewed Coffee -  Light Roast,short,no milk,hot,without whip,236,10,0,0,0,0,5,0,0,0,155
Clover Brewed Coffee -  Light Roast,tall,no milk,hot,without whip,354,10,0,0,0,0,10,0,0,0,255
Clover Brewed Coffee -  Light Roast,grande,no milk,hot,without whip,473,10,0,0,0,0,10,0,0,0,340
Clover Brewed Coffee -  Light Roast,venti,no milk,hot,without whip,591,10,0,0,0,0,10,0,0,0,425
Clover Brewed Coffee - Medium Roast,short,no milk,hot,without whip,236,10,0,0,0,0,5,0,0,0,170
Clover Brewed Coffee - Medium Roast,tall,no milk,hot,without whip,354,10,0,0,0,0,10,0,0,0,280
Clover Brewed Coffee - Medium Roast,grande,no milk,hot,without whip,473,10,0,0,0,0,10,0,0,0,375
Clover Brewed Coffee - Medium Roast,venti,no milk,hot,without whip,591,10,0,0,0,0,10,0,0,0,445
Iced Coffee,tall,no milk,cold,without whip,354,60,0,0,0,0,10,15,0,15,120
Iced Coffee,grande,no milk,cold,without whip,473,80,0.1,0,0,0,10,20,0,20,165
Iced Coffee,venti,no milk,cold,without whip,709,120,0.1,0,0,0,15,30,0,30,235
Iced Coffee,trenta,no milk,cold,without whip,887,160,0.1,0,0,0,15,40,0,39,280
Iced Coffee with milk,tall,non-fat milk,cold,without whip,354,80,0.1,0,0,0,30,17,0,17,90
Iced Coffee with milk,tall,two-percent milk,cold,without whip,354,80,1,0.5,0,5,30,17,0,17,90
Iced Coffee with milk,tall,whole milk,cold,without whip,354,90,1.5,1,0,5,30,17,0,17,90
Iced Coffee with milk,tall,soy milk,cold,without whip,354,80,1,0.1,0,0,25,16,0,16,90
Iced Coffee with milk,tall,coconut milk,cold,without whip,354,80,1,1,0,0,25,17,0,16,110
Iced Coffee with milk,grande,non-fat milk,cold,without whip,473,100,0.1,0,0,0,35,23,0,23,125
Iced Coffee with milk,grande,two-percent milk,cold,without whip,473,110,1.5,1,0.1,5,40,23,0,23,125
Iced Coffee with milk,grande,whole milk,cold,without whip,473,120,2,1,0.1,5,35,23,0,23,125
Iced Coffee with milk,grande,soy milk,cold,without whip,473,110,1,0.1,0,0,35,22,0,21,125
Iced Coffee with milk,grande,coconut milk,cold,without whip,473,100,1.5,1.5,0,0,35,22,0,22,150
Iced Coffee with milk,venti,non-fat milk,cold,without whip,709,160,0.1,0.1,0,0,60,35,0,35,170
Iced Coffee with milk,venti,two-percent milk,cold,without whip,709,170,2,1.5,0.1,10,65,35,0,35,170
Iced Coffee with milk,venti,whole milk,cold,without whip,709,190,3.5,2,0.1,10,60,35,0,35,170
Iced Coffee with milk,venti,soy milk,cold,without whip,709,160,1.5,0.2,0,0,55,33,0,32,170
Iced Coffee with milk,venti,coconut milk,cold,without whip,709,160,2.5,2,0,0,55,33,0,33,205
Iced Coffee with milk,trenta,non-fat milk,cold,without whip,887,210,0.2,0.1,0,5,70,46,0,46,190
Iced Coffee with milk,trenta,two-percent milk,cold,without whip,887,230,3,1.5,0.1,10,80,46,0,46,190
Iced Coffee with milk,trenta,whole milk,cold,without whip,887,240,4.5,2.5,0.1,15,75,46,0,46,190
Iced Coffee with milk,trenta,soy milk,cold,without whip,887,220,2,0.3,0,0,65,44,1,43,190
Iced Coffee with milk,trenta,coconut milk,cold,without whip,887,210,3,3,0,0,70,44,0,44,190
Cold Brewed Coffee,tall,no milk,cold,without whip,354,2,0,0,0,0,10,0,0,0,150
Cold Brewed Coffee,grande,no milk,cold,without whip,473,3,0,0,0,0,15,0,0,0,200
Cold Brewed Coffee,venti,no milk,cold,without whip,709,4,0,0,0,0,20,0,0,0,300
Cold Brewed Coffee,trenta,no milk,cold,without whip,887,5,0,0,0,0,25,0,0,0,330
Vanilla Sweet Cream Cold Brew,tall,no milk,cold,without whip,354,100,6,3.5,0.2,20,20,12,0,12,140
Vanilla Sweet Cream Cold Brew,grande,no milk,cold,without whip,473,110,6,3.5,0.2,20,25,14,0,14,185
Vanilla Sweet Cream Cold Brew,venti,no milk,cold,without whip,709,200,11,7,0.3,40,40,24,0,24,275
Vanilla Sweet Cream Cold Brew,trenta,no milk,cold,without whip,887,210,11,7,0.3,40,45,26,0,26,320
Espresso - Caffè Americano,short,no milk,hot,without whip,236,5,0,0,0,0,5,1,0,0,75
Espresso - Caffè Americano,tall,no milk,hot,without whip,354,10,0,0,0,0,10,1,0,0,150
Espresso - Caffè Americano,grande,no milk,hot,without whip,473,15,0,0,0,0,15,1,0,0,225
Espresso - Caffè Americano,venti,no milk,hot,without whip,591,25,0,0,0,0,10,1,0,0,300
Espresso - Iced Caffè Americano,tall,no milk,cold,without whip,354,10,0,0,0,0,10,2,0,0,150
Espresso - Iced Caffè Americano,grande,no milk,cold,without whip,473,15,0,0,0,0,15,3,0,0,225
Espresso - Iced Caffè Americano,venti,no milk,cold,without whip,709,25,0,0,0,0,20,3,0,0,300
Caffè Latte,tall,non-fat milk,hot,without whip,354,100,0.2,0.2,0,5,120,15,0,14,75
Caffè Latte,tall,two-percent milk,hot,without whip,354,150,6,3.5,0.2,25,135,15,0,14,75
Caffè Latte,tall,whole milk,hot,without whip,354,180,9,5,0.3,30,125,15,0,14,75
Caffè Latte,tall,soy milk,hot,without whip,354,110,4.5,0.5,0,0,105,10,1,6,75
Caffè Latte,tall,coconut milk,hot,without whip,354,110,7,6,0,0,120,11,0,10,75
Caffè Latte,grande,non-fat milk,hot,without whip,473,130,0.3,0.2,0,5,150,19,0,18,150
Caffè Latte,grande,two-percent milk,hot,without whip,473,190,7,4.5,0.3,30,170,19,0,17,150
Caffè Latte,grande,whole milk,hot,without whip,473,230,11,7,0.3,35,150,19,0,17,150
Caffè Latte,grande,soy milk,hot,without whip,473,150,5,0.5,0,0,130,13,1,8,150
Caffè Latte,grande,coconut milk,hot,without whip,473,140,8,8,0,0,150,14,0,12,150
Caffè Latte,venti,non-fat milk,hot,without whip,591,170,0.4,0.3,0,10,190,25,0,23,150
Caffè Latte,venti,two-percent milk,hot,without whip,591,240,9,6,0.4,35,220,24,0,22,150
Caffè Latte,venti,whole milk,hot,without whip,591,290,15,9,0.5,45,200,24,0,22,150
Caffè Latte,venti,soy milk,hot,without whip,591,190,7,1,0,0,170,16,2,11,150
Caffè Latte,venti,coconut milk,hot,without whip,591,170,11,10,0,0,200,18,0,16,150
Iced Caffè Latte,tall,non-fat milk,cold,without whip,354,70,0.1,0.1,0,5,80,10,0,9,75
Iced Caffè Latte,tall,two-percent milk,cold,without whip,354,100,3.5,2,0.1,15,90,10,0,9,75
Iced Caffè Latte,tall,whole milk,cold,without whip,354,120,6,3.5,0.2,20,85,10,0,9,75
Iced Caffè Latte,tall,soy milk,cold,without whip,354,80,3,0.4,0,0,75,7,1,4,75
Iced Caffè Latte,tall,coconut milk,cold,without whip,354,70,4,4,0,0,80,7,0,6,75
Iced Caffè Latte,grande,non-fat milk,cold,without whip,473,90,0.2,0.1,0,5,105,13,0,11,150
